448514,977
346115,1218
299013,784
929798,619
849927,888
1394697,618
45066,1017
15001613,326
2324495,617
667667,1389
3254293,616
4515863,552
112665,1015
71706,1089
1919005,422
745503,648
5113889,615
247845,594
110630,1063
6043687,614
434217,1167
397358,1197
2777135,527
1087541,1076
643126,544
247863,1010
268345,792
49210,1107
690235,471
567358,460
292929,1004
403522,448
3772483,864
596037,1196
274505,1274
964689,543
22610,1564
2562131,697
383061,994
102486,1192
73815,1106
194649,1269
303195,668
14411869,488
14430,1139
428127,979
1325155,971
170085,1386
17201263,368
1585265,443
993395,1195
32890,1537
6270,1580
510081,673
387205,1059
116870,1216
1607815,542
182410,997
354445,766
6678671,3
233618,479
698523,846
1966237,573
1390753,1194
82082,804
327845,1418
338086,568
114855,1306
2398377,350
28842,1508
870573,871
59570,1072
1988787,408
49335,1536
94395,1224
2250941,541
7710911,410
4290,1598
676039,1479
1005771,455
923853,398
608465,1056
4321493,1146
51414,777
3621079,357
432345,449
542938,956
350427,478
438495,548
63714,485
477411,1047
2965735,413
5454059,942
454894,1165
1630447,698
1530098,822
123123,803
796917,564
350455,1293
1110265,1180
760058,540
1558779,612
2185469,1193
344318,751
2488577,621
116994,914
2310,9
444686,664
278806,1367
1839383,657
1964315,1148
1732895,966
9828643,341
14630,1578
190762,1392
4423979,826
2068781,1040
135470,1247
127281,1435
24882,1469
8415539,818
168245,1503
2369851,1354
115005,795
55614,1273
270655,1100
719169,892
940355,1042
713031,579
133455,603
209235,1006
74074,1132
985435,703
4180319,536
151905,769
201058,1093
682341,1164
282982,667
913767,695
1050985,1027
35178,807
721259,1414
19224941,367
711022,624
334191,764
2105719,625
319865,1094
1263994,829
3453307,557
3035517,373
10626,1545
2873731,553
3529097,948
643467,907
70035,1405
205205,802
627095,706
881049,644
5513629,853
2400671,865
418209,1366
80290,932
1315237,1183
266662,1257
72105,1506
352682,720
1151403,423
852397,1410
194990,913
231855,678
223665,922
3774901,1172
18870,1129
659895,400
414141,472
1130942,835
3508673,854
209346,430
395715,876
674245,728
45510,486
5466571,531
1272271,587
141778,768
268755,709
795093,972
563673,1185
66010,744
154077,1400
5235167,384
682465,909
1503717,856
6630,1590
506345,1049
70122,1217
545259,589
418285,1084
90610,790
7971317,935
1186294,415
66045,1126
176638,927
143871,1324
6109697,525
1344005,1159
168454,1302
111111,1131
324105,584
4569617,1151
291346,755
301587,1092
756245,581
1198615,891
2859545,390
16926,1347
492063,917
1188385,578
139810,601
2449955,434
9945637,817
1604135,950
11020841,489
2163242,338
363055,737
121394,1395
2097715,945
51765,1460
160310,725
2052665,554
1221185,425
25911877,323
864838,840
98890,1222
447051,1241
1714765,866
158286,878
90706,1311
1137235,1163
9722453,382
361046,463
2593367,881
1829465,842
29274,800
6369883,431
410205,632
78430,1278
21090,1109
18387557,332
23142,1442
129642,586
62062,1341
776815,1077
57970,1333
225910,654
399993,1256
5059195,372
529023,719
572033,1483
993922,535
1458821,713
385671,1210
731786,844
760461,903
873103,1379
463505,756
565915,1034
1696413,834
39585,1470
920227,1080
23205,1587
15015,8
3175081,417
2730,1599
199342,785
1043119,1239
498355,783
369334,875
1733303,1249
1983163,886
330429,1291
107198,1305
303807,1050
17094,1142
99015,743
58058,1466
